QUESTÃO 5
NOME,POPULAÇÃO,POPULAÇÃO/ESTADO,AUTOMÓVEIS2018,AUTOMÓVEIS/ESTADO,ÔNIBUS2018,ÔNIBUS/ESTADO,CAMINHÃO2018,CAMINHÃO/ESTADO
FORQUILHA,24047,0.2665828571935356,1433,0.12805195710393477,53,0.30038540013602355,161,0.2205721174923279,
FORTALEZA,2627482,29.128026730344132,584840,52.26092574505597,7080,40.12695533892541,22165,30.366341516878563,
FORTIM,16272,0.18038991359642412,1417,0.12662220740842678,26,0.14735887553842666,54,0.07398071021481806,
FRECHEIRINHA,13669,0.15153329209375133,862,0.0770277648454932,34,0.1927000680117887,106,0.1452213941253836,
GENERAL SAMPAIO,6922,0.07673666309700393,324,0.02895243133403689,9,0.0510088415325323,36,0.049320473476545376,
GRACA,15307,0.16969201127215242,540,0.048254052223394815,14,0.07934708682838358,36,0.049320473476545376,
GRANJA,54365,0.6026854506311208,1579,0.1410984230754452,47,0.26637950578100206,263,0.36031345900920647,
GRANJEIRO,4425,0.04905514796362934,156,0.013940059531202947,2,0.011335298118340512,17,0.023290223586146425,
GROAIRAS,11012,0.12207803149728506,700,0.06255154917847476,33,0.18703241895261846,81,0.1109710653222271,
GUAIUBA,26331,0.29190307367916934,1300,0.11616716276002456,13,0.07367943776921333,104,0.14248136782113108,
GUARACIABA DO NORTE,39445,0.43728368619782143,3938,0.3518971438069052,39,0.22103831330763998,511,0.700076720736519,
GUARAMIRANGA,3547,0.039321719734913746,433,0.0386926011346851,12,0.06801178871004307,40,0.05480052608505041,
HIDROLANDIA,20215,0.22410165335248977,1074,0.09597194831097414,21,0.11902063024257538,190,0.2603024989039895,
HORIZONTE,65928,0.7308718180669279,8047,0.719074737484552,111,0.6291090455678985,564,0.7726874177992109,
IBARETAMA,13218,0.14653354706966162,690,0.06165795561878226,26,0.14735887553842666,160,0.21920210434020165,
IBIAPINA,24825,0.2752076945078189,1930,0.17246355702065183,31,0.17569712083427794,219,0.300032880315651,
IBICUITINGA,12350,0.13691097793238927,680,0.06076436205908977,22,0.12468827930174564,93,0.12741122314774223,
ICAPUI,19685,0.2182261215059986,918,0.08203188877977119,67,0.37973248696440715,123,0.16851161771153003,
ICO,67486,0.7481436645137831,4405,0.3936279630445447,103,0.5837678530945364,408,0.5589653660675142,
IGUATU,102614,1.137569480935562,11075,0.98965486735944,175,0.9918385853547949,1113,1.5248246383165278,
INDEPENDENCIA,25967,0.2878678027506358,1598,0.14279625083886097,27,0.1530265245975969,271,0.37127356422621655,
IPAPORANGA,11499,0.12747686925057036,517,0.04619878703610207,11,0.06234413965087282,39,0.053430512932924154,
IPAUMIRIM,12349,0.13689989202324496,3641,0.325357415084038,40,0.22670596236681026,302,0.41374397194213064,
IPU,41576,0.4609077585843738,3148,0.2813032525911979,31,0.17569712083427794,342,0.46854449802718107,
IPUEIRAS,37896,0.420111612933265,1934,0.17282099444452884,14,0.07934708682838358,111,0.1520714598860149,
IRACEMA,14125,0.1565884666635626,853,0.07622353064176995,30,0.1700294717751077,69,0.09453090749671197,
IRAUCUBA,23858,0.2644876203652585,944,0.08435523203497168,45,0.2550442076626615,123,0.16851161771153003,
ITAICABA,7738,0.0857827649587715,628,0.05611767554868879,15,0.08501473588755384,39,0.053430512932924154,
ITAITINGA,39310,0.43578708846333775,4133,0.3693222182209088,84,0.4760825209703015,475,0.6507562472599737,
ITAPAJE,51945,0.5758575505018592,3267,0.29193701595153865,59,0.3343912944910451,380,0.520604997807979,
ITAPIPOCA,127465,1.4130654090811334,7594,0.6785949492304819,140,0.7934708682838358,1027,1.4070035072336695,
ITAPIUNA,20014,0.2218733856144809,901,0.08051277972829395,33,0.18703241895261846,73,0.10001096010521701,
ITAREMA,41230,0.457072034020438,1919,0.17148060410499008,54,0.3060530491951938,165,0.22605217010083298,
ITATIRA,20675,0.22920117155887837,1042,0.09311244891995814,49,0.27771480389934255,223,0.30551293292415604,
JAGUARETAMA,17958,0.19908075641375272,884,0.0789936706768167,27,0.1530265245975969,174,0.2383822884699693,
JAGUARIBARA,11295,0.12521534378512847,786,0.07023645379183023,17,0.09635003400589436,117,0.16029153879877248,
JAGUARIBE,34448,0.38188739820363926,2715,0.2426106514565128,34,0.1927000680117887,416,0.5699254712845243,
JAGUARUANA,33740,0.3740385745294586,1901,0.1698721356975436,29,0.16436182271593744,300,0.4110039456378781,
JARDIM,27076,0.30016207599169004,1868,0.16692327695055836,43,0.243708909544321,186,0.25482244629548445,
JATI,7847,0.08699112905550271,786,0.07023645379183023,21,0.11902063024257538,61,0.08357080227970189,
JIJOCA DE JERICOACOARA,19510,0.21628608740574207,1732,0.1547704045387404,22,0.12468827930174564,108,0.14796142042963611,
JUAZEIRO DO NORTE,270383,2.99744137216949,37122,3.317198012290486,315,1.7853094536386307,2105,2.8838776852257784,
JUCAS,24597,0.27268010722291325,978,0.08739345013792617,38,0.21537066424846973,138,0.18906181499342395,
LAVRAS DA MANGABEIRA,31335,0.3473769630373617,1518,0.13564750236132098,40,0.22670596236681026,133,0.18221174923279262,
LIMOEIRO DO NORTE,58915,0.6531263372377906,7824,0.6991476011034093,164,0.929494445703922,840,1.1508110477860587,
MADALENA,19800,0.21950100105759573,927,0.08283612298349444,36,0.2040353661301292,191,0.26167251205611575,
MARACANAU,224804,2.4921567192803913,32301,2.8863965571627332,447,2.5334391294491043,2296,3.145550197281894,
MARANGUAPE,126486,1.402212304028841,10273,0.9179886638721018,315,1.7853094536386307,722,0.98914949583516,
MARCO,26981,0.29910891462297934,1432,0.1279625977479655,31,0.17569712083427794,325,0.44525427444103466,
MARTINOPOLE,11082,0.12285404513738767,336,0.030024743605667887,3,0.017002947177510767,46,0.06302060499780798,
MASSAPE,38210,0.4235925884045825,1715,0.15325129548726316,113,0.6404443436862389,129,0.1767316966242876,
MAURITI,46548,0.5160268988499478,2842,0.2539592896646075,74,0.41940603037859897,190,0.2603024989039895,
MERUOCA,14948,0.16571216988934045,619,0.05531344134496554,25,0.14169122647925642,49,0.06713064445418676,
MILAGRES,28231,0.3129663010533831,2080,0.1858674604160393,33,0.18703241895261846,134,0.18358176238491888,
MILHA,13136,0.14562450251982714,809,0.07229171897912297,33,0.18703241895261846,103,0.14111135466900482,
MIRAIMA,13583,0.15057990390733952,379,0.03386719591234562,13,0.07367943776921333,34,0.04658044717229285,
MISSAO VELHA,35409,0.39254095689133367,2749,0.2456488695594673,34,0.1927000680117887,278,0.3808636562911004,
MOMBACA,43735,0.48484223642696717,2281,0.20382869096585848,44,0.24937655860349128,292,0.40004384042086805,
MONSENHOR TABOSA,17038,0.18888172000097556,893,0.07979790488053995,9,0.0510088415325323,105,0.14385138097325734,
MORADA NOVA,61548,0.6823155360147931,5580,0.4986252063084131,136,0.7708002720471548,613,0.8398180622533976,
MORAUJO,8636,0.09573791137037357,410,0.03663733594739236,10,0.056676490591702565,26,0.03562034195528277,
MORRINHOS,22222,0.24635107300514605,1153,0.10303133743254486,28,0.15869417365676716,117,0.16029153879877248,
MUCAMBO,14377,0.15938211576793201,731,0.0653216892135215,16,0.09068238494672409,44,0.06028057869355546,
MULUNGU,12831,0.14224330023080864,460,0.041105303745854846,14,0.07934708682838358,73,0.10001096010521701,
NOVA OLINDA,15433,0.17108883582433712,901,0.08051277972829395,16,0.09068238494672409,133,0.18221174923279262,
NOVA RUSSAS,32035,0.35513709943838784,2499,0.2233090305671549,15,0.08501473588755384,224,0.30688294607628236,
NOVO ORIENTE,28353,0.3143187819689905,1627,0.14538767216196918,25,0.14169122647925642,84,0.11508110477860588,
OCARA,25394,0.2815155768109387,1977,0.17666344675120657,60,0.3400589435502154,209,0.2863327487943884,
OROS,21292,0.23604117750092565,1149,0.10267390000866786,33,0.18703241895261846,159,0.2178320911880754,
PACAJUS,70911,0.7861129033330895,9575,0.8556158334055655,170,0.9635003400589436,762,1.0439500219202105,
PACATUBA,82824,0.9181793389694095,6778,0.6056777147595742,44,0.24937655860349128,287,0.39319377466023675,
PACOTI,11960,0.1325874733661033,630,0.05629639426062728,16,0.09068238494672409,117,0.16029153879877248,
PACUJA,6202,0.06875480851309135,372,0.03324168042056087,9,0.0510088415325323,25,0.03425032880315651,
PALHANO,9285,0.1029326664050392,762,0.06809182924856824,15,0.08501473588755384,93,0.12741122314774223,
PALMACIA,13145,0.14572427570212607,479,0.042803131509270585,22,0.12468827930174564,50,0.06850065760631302,
PARACURU,33894,0.37574580453768436,3459,0.30909401229763456,44,0.24937655860349128,237,0.32469311705392373,
PARAIPABA,32515,0.3604583358276629,2481,0.2217005621597084,37,0.20970301518929949,315,0.431554142919772,
PARAMBU,31137,0.3451819530267858,1599,0.1428856101948302,24,0.13602357742008614,266,0.36442349846558525,
PARAMOTI,11578,0.1283526560729719,577,0.05156034839425705,20,0.11335298118340513,70,0.09590092064883823,
PEDRA BRANCA,42841,0.47493143365194235,2403,0.21473053239410692,45,0.2550442076626615,613,0.8398180622533976,
PENAFORTE,8956,0.09928540229655694,780,0.06970029765601474,26,0.14735887553842666,101,0.1383713283647523,
PENTECOSTE,37077,0.41103225334406446,2584,0.23090457582454113,34,0.1927000680117887,311,0.426074090311267,
PEREIRO,16163,0.17918154949969292,1067,0.09534643281918939,33,0.18703241895261846,110,0.15070144673388863,
PINDORETAMA,20644,0.2288575083754044,2088,0.18658233526379328,39,0.22103831330763998,191,0.26167251205611575,
PIQUET CARNEIRO,16731,0.18547834589366838,660,0.05897717493970477,16,0.09068238494672409,67,0.09179088119245944,
PIRES FERREIRA,10784,0.11955044421237943,411,0.03672669530336161,7,0.03967354341419179,25,0.03425032880315651,
PORANGA,12243,0.1357247856539467,481,0.04298185022120909,7,0.03967354341419179,30,0.041100394563787813,
PORTEIRAS,14921,0.16541285034244374,1029,0.0919507772923579,85,0.4817501700294718,75,0.10275098640946953,
POTENGI,10918,0.1210359560377187,449,0.040122350830193096,11,0.06234413965087282,79,0.10823103901797457,
POTIRETAMA,6356,0.07046203852131709,301,0.026897166146744148,8,0.045341192473362046,58,0.07946076282332311,
QUITERIANOPOLIS,20860,0.23125206475057813,824,0.07363210931866172,9,0.0510088415325323,96,0.131521262604121,
QUIXADA,86605,0.9600951614440949,7858,0.7021858192063638,162,0.9181591475855815,1092,1.4960543621218765,
QUIXELO,14860,0.16473660988464003,674,0.06022820592327427,47,0.26637950578100206,80,0.10960105217010083,
QUIXERAMOBIM,78658,0.8719954414741599,5274,0.4712812433818227,169,0.9578326909997733,662,0.9069487067075844,
QUIXERE,21876,0.2425153484412103,1864,0.16656583952668136,47,0.26637950578100206,299,0.40963393248575186,
REDENCAO,27441,0.30420843282936794,2308,0.2062413935770282,68,0.3854001360235774,251,0.34387330118369136,
RERIUTABA,18769,0.2080714287297987,1186,0.1059801961795301,28,0.15869417365676716,117,0.16029153879877248,
RUSSAS,76475,0.8477949018121027,7608,0.6798459802140514,190,1.0768533212423488,1007,1.3796032441911443,
SABOEIRO,15678,0.17380488356469626,449,0.040122350830193096,13,0.07367943776921333,52,0.07124068391056554,
SALITRE,16331,0.18104398223593918,601,0.053704972937519045,43,0.243708909544321,182,0.24934239368697939,
SANTA QUITERIA,43360,0.480685020497846,2590,0.2314407319603566,44,0.24937655860349128,333,0.45621437965804473,
SANTANA DO ACARAU,32023,0.35500406852865596,1261,0.11268214787722382,64,0.36272953978689637,178,0.24386234107847435,
SANTANA DO CARIRI,17489,0.19388146502506526,796,0.07113004735152273,28,0.15869417365676716,97,0.13289127575624726,
SAO BENEDITO,46648,0.5171354897643801,4536,0.40533403867651646,100,0.5667649059170257,522,0.7151468654099079,
SAO GONCALO DO AMARANTE,48265,0.5350614048507504,5696,0.5089908916008461,162,0.9181591475855815,460,0.6302060499780798,
SAO JOAO DO JAGUARIBE,7621,0.08448571358888571,645,0.05763678460016603,10,0.056676490591702565,47,0.06439061814993424,
SAO LUIS DO CURU,12849,0.14244284659540643,791,0.07068325057167647,12,0.06801178871004307,73,0.10001096010521701,
SENADOR POMPEU,26447,0.29318903913991085,1685,0.15057051480818567,73,0.4137383813194287,205,0.2808526961858834,
SENADOR SA,7513,0.08328843540129884,289,0.02582485387511315,17,0.09635003400589436,32,0.04384042086804033,
SOBRAL,205529,2.2784758205235653,24201,2.162585773811811,456,2.584447970981637,1790,2.452323542306006,
SOLONOPOLE,18158,0.20129793824261735,969,0.08658921593420292,24,0.13602357742008614,102,0.13974134151687856,
TABULEIRO DO NORTE,30489,0.33799828390126446,3326,0.29720921795372435,55,0.3117206982543641,407,0.557595352915388,
TAMBORIL,25525,0.28296783090884503,1455,0.13001786293525824,29,0.16436182271593744,148,0.20276194651468654,
TARRAFAS,8852,0.09813246774554735,293,0.02618229129899015,8,0.045341192473362046,30,0.041100394563787813,
TAUA,58119,0.6443019535589094,4361,0.3896961513818978,62,0.3513942416685559,578,0.7918676019289785,
TEJUCUOCA,18902,0.20954585464599365,720,0.06433873629785976,28,0.15869417365676716,121,0.1657715914072775,
TIANGUA,74719,0.8283280453546714,10142,0.9062825882401301,248,1.4055769666742235,1521,2.083790004384042,
TRAIRI,55207,0.6120197861306408,2841,0.2538699303086383,87,0.4930854681478123,276,0.3781236299868479,
TURURU,15935,0.17665396221478727,896,0.08006598294844769,14,0.07934708682838358,74,0.10138097325734327,
UBAJARA,34332,0.3806014327428978,3009,0.26888230211147224,87,0.4930854681478123,309,0.42333406400701445,
UMARI,7671,0.08504000904610186,368,0.032884242996683875,7,0.03967354341419179,15,0.020550197281893907,
UMIRIM,19679,0.21815960605113266,1021,0.0912359024446039,42,0.23804126048515076,59,0.08083077597544937,
URUBURETAMA,21609,0.23955541069967606,747,0.0667514389090295,34,0.1927000680117887,106,0.1452213941253836,
URUOCA,13677,0.15162197936690588,545,0.048700849003241065,20,0.11335298118340513,95,0.13015124945199474,
VARJOTA,18239,0.2021958968833075,1559,0.1393112359560602,14,0.07934708682838358,169,0.23153222270933801,
VARZEA ALEGRE,40440,0.4483141657964228,2731,0.24404040115202083,62,0.3513942416685559,290,0.39730381411661553,
VICOSA DO CEARA,60030,0.6654871259337107,2705,0.24171705789682033,97,0.5497619587395148,458,0.6274660236738273,
